date,epoch,transactions,stake_rewards,burnt_tokens,total_iota_supply
2025-07-30,86,1664956,767000000820000,22988820000,4665960332121000000
2025-07-31,87,1720252,767000000910000,54858910000,4666727309133000000
2025-08-01,88,1696371,767000000700000,23463700000,4667494254275000000
2025-08-02,89,1691158,767000000110000,22456110000,4668261230812000000
2025-08-03,90,1702883,767000000190000,29246190000,4669028208356000000
2025-08-04,91,1726247,767000000330000,61385330000,4669795179110000000
2025-08-05,92,1725755,767000000320000,55357320000,4670562117725000000
2025-08-06,93,1697156,767000000140000,52409140000,4671329062368000000
2025-08-07,94,1703627,767000000130000,53439130000,4672096009959000000
2025-08-08,95,1711495,767000000200000,47792200000,4672862956520000000
2025-08-09,96,1724048,767000000090000,49135090000,4673629908728000000
2025-08-10,97,1714831,767000000180000,49863180000,4674396859593000000
2025-08-11,98,1705892,767000000320000,51581320000,4675163809730000000
2025-08-12,99,1697674,767000000140000,65389140000,4675930758149000000
2025-08-13,100,1709101,767000000470000,63809470000,4676697692760000000
2025-08-14,101,1752304,767000002530000,78865530000,4677464628951000000
2025-08-15,102,1741615,767000000720000,77338720000,4678231550088000000
2025-08-16,103,1713783,767000000120000,89227120000,4678998472750000000
2025-08-17,104,1807890,767000000090000,152545090000,4679765383523000000
2025-08-18,105,2528452,759866900188233,886751190000,4680532230978000000
2025-08-19,106,2333294,767000000170000,676477170000,4681291211126998000
2025-08-20,107,1904462,767000000360000,223578360000,4682057534649998000
2025-08-21,108,1910788,767000000200000,247893200000,4682824311071998000
2025-08-22,109,1885638,767000000420000,222861420000,4683591063178998233
2025-08-23,110,2671387,767000000160000,1027750160000,4684357840317998233
2025-08-24,111,1783204,767000000170000,153792170000,4685123812567998233
2025-08-25,112,1907435,767000000360000,257004360000,4685890658775998233
2025-08-26,113,2000536,767000000140000,361717140000,4686657401771998233
2025-08-27,114,1854680,767000000250000,221572250000,4687424040054998233
2025-08-28,115,1680288,767000000160000,76122160000,4688190818482998233
2025-08-29,116,1766394,767000000220000,128397220000,4688957742360998233
2025-08-30,117,1710148,767000000140000,60993140000,4689724613963998233
2025-08-31,118,1875971,767000000240000,84784240000,4690491552970998233
2025-09-01,119,1716686,767000004470000,59072470000,4691258468186998233
2025-09-02,120,1724901,767000000120000,73130120000,4692025409118998233
2025-09-03,121,1993023,767000000100000,165514100000,4692792335988998233
2025-09-04,122,1940509,767000000150000,92422150000,4693559170474998233
2025-09-05,123,1882041,767000000180000,77302180000,4694326078052998233
2025-09-06,124,1956540,767000000200000,107796200000,4695093000750998233
2025-09-07,125,1919306,767000000290000,70871290000,4695859892954998233
2025-09-08,126,1913605,767000000460000,64491460000,4696626822083998233
2025-09-09,127,1924960,767000000390000,79064390000,4697393757592998233
2025-09-10,128,1921373,767000000960000,76587960000,4698160678528998233
2025-09-11,129,1948745,767000000530000,100618530000,4698927601941998233
2025-09-12,130,1916429,767000000080000,72528080000,4699694501323998233
2025-09-13,131,1909389,767000000550000,62481550000,4700461428795998233
2025-09-14,132,1913820,767000000130000,65296130000,4701228366314998233
2025-09-15,133,1892468,767000000190000,58371190000,4701995301018998233
2025-09-16,134,1909577,767000000170000,59613170000,4702762242647998233
2025-09-17,135,1913655,767000000090000,62833090000,4703529183034998233
2025-09-18,136,1919111,767000000800000,68780800000,4704296120201998233
2025-09-19,137,1909098,767000000910000,58433910000,4705063051421998233
2025-09-20,138,1935536,767000000200000,88634200000,4705829992988998233
2025-09-21,139,1929401,767000000190000,83138190000,4706596904354998233
2025-09-22,140,1928444,767000001150000,81881150000,4707363821216998233
2025-09-23,141,1919507,767000000130000,76328130000,4708130739336998233
2025-09-24,142,1873074,767000000130000,66338130000,4708897663008998233
2025-09-25,143,1905439,767000000200000,68032200000,4709664596670998233
2025-09-26,144,1914249,767000000100000,68055100000,4710431528638998233
2025-09-27,145,1915598,767000000120000,70700120000,4711198460583998233
2025-09-28,146,1915236,767000000090000,65268090000,4711965389883998233
2025-09-29,147,1945030,767000012890000,100325890000,4712732324615998233
2025-09-30,148,1979405,767000063350000,129593350000,4713499224302998233
2025-10-01,149,1912792,767000057990000,68087390000,4714266094772998233
2025-10-02,150,1900855,767000011520000,63632520000,4715033026743598233
2025-10-03,151,1910567,767000014650000,67249650000,4715799963122598233
2025-10-04,152,1879247,767000013930000,62512930000,4716566895887598233
2025-10-05,153,1856772,767000010280000,49745280000,4717333833388598233
2025-10-06,154,1827017,767000011740000,54035740000,4718100783653598233
2025-10-07,155,1890591,767000009320000,92478320000,4718867729629598233
2025-10-08,156,1893927,767000013840000,90179840000,4719634637160598233
2025-10-09,157,1905860,767000011390000,84139390000,4720401546994598233
2025-10-10,158,1910936,767000000430000,89441430000,4721168462866598233
2025-10-11,159,1898933,767000000440000,78227440000,4721935373425598233
2025-10-12,160,1891716,767000000460000,75110460000,4722702295198598233
2025-10-13,161,1888544,767000000400000,73001400000,4723469220088598233
2025-10-14,162,1888793,767000000370000,79312370000,4724236147087598233
2025-10-15,163,1882267,767000000590000,68343590000,4725003067775598233
2025-10-16,164,1867943,767000000320000,75416320000,4725769999432598233
2025-10-17,165,1878581,767000000430000,69384430000,4726536924016598233
2025-10-18,166,1861024,767000000310000,49871310000,4727303854632598233
2025-10-19,167,1853135,767000000430000,45345430000,4728070804761598233
2025-10-20,168,1852718,767000000370000,47048370000,4728837759416598233
2025-10-21,169,1836078,767000000310000,38790310000,4729604712368598233
2025-10-22,170,1825021,767000000770000,28146770000,4730371673578598233
2025-10-23,171,1848903,767000005560000,45955560000,4731138645432598233
2025-10-24,172,1844588,767000000210000,36602210000,4731905599482598233
2025-10-25,173,1841178,767000000280000,37324280000,4732672562880598233
2025-10-26,174,1860302,767000000630000,51873630000,4733439525556598233
2025-10-27,175,1870814,767000000303972,64438304000,4734206473683598233
2025-10-28,176,1955416,767000000320000,150603320000,4734973409245598205
2025-10-29,177,1996715,767000002910969,187213911000,4735740258642598205
2025-10-30,178,2005377,767000000570974,202726571000,4736507071431598174
2025-10-31,179,1998846,767000000060000,191343060000,4737273868705598148
2025-11-01,180,1936584,767000000140000,132757140000,4738040677362598148
2025-11-02,181,1928513,767000000190000,127975190000,4738807544605598148
2025-11-03,182,1939412,767000000110000,138270110000,4739574416630598148
2025-11-04,183,1922876,767000000180000,133644180000,4740341278360598148
2025-11-05,184,1919546,767000000080000,119968080000,4741108144716598148
2025-11-06,185,1841772,767000000220000,115661220000,4741875024748598148
